c6_b12x_dspark_p8000.log	Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_dspark_p8001.log	Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_dspark_p8002.log	Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_dspark_p8003.log	Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_p8000.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_p8001.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_p8002.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_b12x_p8003.log	GPU KV cache size: 1,818,375 tokens|Using B12xNvFp4LinearKernel for NVFP4 GEMM|Using FLASHINFER attention backend
c6_fp8_b12x_p8000.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
c6_fp8_b12x_p8001.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
c6_fp8_b12x_p8002.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
c6_fp8_b12x_p8003.log	GPU KV cache size: 1,524,208 tokens|Selected B12xFp8BlockScaledMMKernel|Using FLASHINFER attention backend
f2_gemma26_mtp_p8000.log	GPU KV cache size: 722,266 tokens
f2_gemma26_mtp_p8001.log	GPU KV cache size: 722,266 tokens
f2_gemma26_mtp_p8002.log	GPU KV cache size: 722,266 tokens
f2_gemma26_mtp_p8003.log	GPU KV cache size: 722,266 tokens
f2_gemma26_p8000.log	GPU KV cache size: 762,337 tokens
f2_gemma26_p8001.log	GPU KV cache size: 762,337 tokens
f2_gemma26_p8002.log	GPU KV cache size: 762,337 tokens
f2_gemma26_p8003.log	GPU KV cache size: 762,337 tokens
f2_gemma31_p8000.log	GPU KV cache size: 135,804 tokens
f2_gemma31_p8001.log	GPU KV cache size: 135,792 tokens
f2_gemma31_p8002.log	GPU KV cache size: 135,792 tokens
f2_gemma31_p8003.log	GPU KV cache size: 135,804 tokens
f2_gptoss20_p8000.log	GPU KV cache size: 4,473,531 tokens|Using 'FLASHINFER_CUTLASS_MXFP4_MXFP8' Mxfp4 MoE backend|Using FLASHINFER attention backend
